Year,Month,DATE / TIME (PDT),STORAGE AF
2014,1,1/1/2014,5003
2014,2,2/1/2014,6040
2014,3,3/1/2014,4836
2014,4,4/1/2014,19184
2014,5,5/1/2014,47152
2014,6,6/1/2014,39777
2014,7,7/1/2014,31904
2014,8,8/1/2014,20996
2014,9,9/1/2014,3068
2014,10,10/1/2014,2721
2014,11,11/1/2014,2856
2014,12,12/1/2014,3797
2015,1,1/1/2015,4210
2015,2,2/1/2015,6503
2015,3,3/1/2015,9786
2015,4,4/1/2015,15567
2015,5,5/1/2015,35085
2015,6,6/1/2015,21972
2015,7,7/1/2015,21471
2015,8,8/1/2015,21167
2015,9,9/1/2015,14177
2015,10,10/1/2015,15152
2015,11,11/1/2015,3954
2015,12,12/1/2015,3830
2016,1,1/1/2016,4767
2016,2,2/1/2016,9025
2016,3,3/1/2016,17565
2016,4,4/1/2016,31500
2016,5,5/1/2016,59999
2016,6,6/1/2016,59343
2016,7,7/1/2016,21081
2016,8,8/1/2016,21709
2016,9,9/1/2016,4213
2016,10,10/1/2016,7206
2016,11,11/1/2016,11264
2016,12,12/1/2016,5246
2017,1,1/1/2017,10908
2017,2,2/1/2017,5693
2017,3,3/1/2017,8308
2017,4,4/1/2017,1083
2017,5,5/1/2017,56344
2017,6,6/1/2017,55437
2017,7,7/1/2017,41475
2017,8,8/1/2017,1346
2017,9,9/1/2017,1076
2017,10,10/1/2017,1095
2017,11,11/1/2017,1159
2017,12,12/1/2017,1090
2018,1,1/1/2018,1118
2018,2,2/1/2018,1083
2018,3,3/1/2018,6088
2018,4,4/1/2018,45401
2018,5,5/1/2018,63470
2018,6,6/1/2018,58477
2018,7,7/1/2018,42160
2018,8,8/1/2018,24840
2018,9,9/1/2018,1139
2018,10,10/1/2018,1056
2018,11,11/1/2018,1135
2018,12,12/1/2018,1090
2019,1,1/1/2019,1184
2019,2,2/1/2019,1229
2019,3,3/1/2019,1275
2019,4,4/1/2019,8244
2019,5,5/1/2019,17618
2019,6,6/1/2019,57872
2019,7,7/1/2019,58557
2019,8,8/1/2019,30664
2019,9,9/1/2019,33535
2019,10,10/1/2019,32806
2019,11,11/1/2019,6880
2019,12,12/1/2019,7162
2020,1,1/1/2020,4607
2020,2,2/1/2020,4956
2020,3,3/1/2020,6896
2020,4,4/1/2020,21679
2020,5,5/1/2020,60271
2020,6,6/1/2020,59382
2020,7,7/1/2020,41325
2020,8,8/1/2020,21464
2020,9,9/1/2020,--
