# Created by WEAP: 4/12/2021 4:43:36 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_N_CEN_Interior Coulee (1,197,238 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,197,238 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m
2059, 5, 19.68, 8.271
2059, 6, 20.32, 48.05
2059, 7, 27.31, 4.928
2059, 8, 28.11, 0.4348
2059, 9, 23.81, 6.359
2059, 10, 12.38, 34.06
2059, 11, 5.587, 50.08
2059, 12, 0.6787, 45.77
2060, 1, 2.375, 22.14
2060, 2, 8.794, 16.69
2060, 3, 11.41, 25.24
2060, 4, 13.82, 18.86
2060, 5, 19.52, 10.62
2060, 6, 23.01, 33.31
2060, 7, 26.46, 0.727
2060, 8, 29.84, 0.4623
2060, 9, 21.06, 32.03
2060, 10, 13.33, 16.32
2060, 11, 5.254, 46.48
2060, 12, 2.989, 45.74
2061, 1, 7.196, 26.87
2061, 2, 9.724, 29.76
2061, 3, 10.88, 29.45
2061, 4, 15.35, 23.72
2061, 5, 17.7, 11.91
2061, 6, 26.61, 8.911
2061, 7, 28.62, 0.587
2061, 8, 27.35, 17.06
2061, 9, 21.13, 11.72
2061, 10, 15.26, 21.63
2061, 11, 5.445, 21.49
2061, 12, 3.056, 39.45
2062, 1, 3.604, 17.84
2062, 2, 10.48, 19.18
2062, 3, 11.48, 17.01
2062, 4, 12.48, 12.55
2062, 5, 18, 3.829
2062, 6, 20.59, 33.44
2062, 7, 28.05, 0.8572
2062, 8, 28.63, 5.137
2062, 9, 21.72, 8.738
2062, 10, 16.58, 6.564
2062, 11, 6.537, 37.75
2062, 12, 4.792, 69.03
2063, 1, -0.5576, 17.86
2063, 2, 2.209, 24.32
2063, 3, 10.88, 29.4
2063, 4, 12.1, 19.72
2063, 5, 19.05, 15.72
2063, 6, 24.4, 1.001
2063, 7, 28.46, 2.483
2063, 8, 27.7, 1.049
2063, 9, 23.16, 7.484
2063, 10, 16.02, 6.119
2063, 11, 6.355, 36.45
2063, 12, 4.518, 34.45
2064, 1, 6.444, 37.75
2064, 2, 8.691, 16.55
2064, 3, 11.16, 7.649
2064, 4, 12.64, 26.32
2064, 5, 16.39, 20.01
2064, 6, 22.2, 28.94
2064, 7, 28.22, 5.229
2064, 8, 27.71, 3.577
2064, 9, 22.38, 16.08
2064, 10, 14.53, 20.68
2064, 11, 4.817, 33.96
2064, 12, 5.115, 70.25
2065, 1, 4.184, 29.68
2065, 2, 1.547, 30.58
2065, 3, 11.48, 32.68
2065, 4, 15.78, 26.66
2065, 5, 19.64, 25.91
2065, 6, 26.36, 52.69
2065, 7, 29.08, 2.626
2065, 8, 30.14, 9.373
2065, 9, 21.75, 1.404
2065, 10, 14.1, 11.58
2065, 11, 7.706, 70.73
2065, 12, 7.427, 73.22
2066, 1, 2.862, 44.81
2066, 2, 10.66, 20.18
2066, 3, 11.03, 29.78
2066, 4, 13, 28.95
2066, 5, 16.2, 38.33
2066, 6, 21.34, 9.482
2066, 7, 29.85, 0.08829
2066, 8, 27.59, 0.961
2066, 9, 21.78, 0.3684
2066, 10, 14.98, 16.13
2066, 11, 9.196, 47.08
2066, 12, 6.349, 46.95
2067, 1, -0.6803, 52.59
2067, 2, 4.486, 35.57
2067, 3, 11.58, 22.52
2067, 4, 15.24, 24.34
2067, 5, 22.52, 6.984
2067, 6, 26.83, 3.836
2067, 7, 30.21, 0.5431
2067, 8, 26.19, 2.969
2067, 9, 21.98, 12.91
2067, 10, 16.69, 28.52
2067, 11, 5.384, 17.57
2067, 12, 6.801, 33.28
2068, 1, 4.61, 56.41
2068, 2, 7.165, 47.21
2068, 3, 11.3, 32.64
2068, 4, 14.1, 10.51
2068, 5, 18.16, 13.81
2068, 6, 23.05, 17.53
2068, 7, 31.07, 0.2142
2068, 8, 29.67, 0.8025
