# Created by WEAP: 5/10/2021 8:07:17 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_HadGEM2-CC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upr Nisqually (76,281 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (47,338 ha),  1000 - 2000 m (25,455 ha),  2000 - 3000 m (2,311 ha),  3000 - 4000 m (912 ha),  4000 - 5000 m (265 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m
2016, 4, 9.095, 6.92, -3.351, -5.007, -5.554, 117.3, 133.4, 197.2, 197.4, 193.7
2016, 5, 12.85, 10.48, 0.002801, -1.671, -2.203, 114.7, 126.5, 152.4, 149.5, 146.2
2016, 6, 15.93, 13.86, 3.465, 1.791, 1.263, 41.88, 45.76, 46.1, 44.44, 43.85
2016, 7, 19.49, 17.91, 8.081, 6.434, 5.881, 54.5, 62.14, 72.61, 71.06, 69.96
2016, 8, 18.47, 16.65, 6.465, 4.803, 4.253, 7.306, 9.548, 13.4, 13.08, 12.88
2016, 9, 16.68, 14.87, 4.831, 3.165, 2.627, 13.21, 13.92, 15.63, 14.73, 14.74
2016, 10, 10.1, 8.476, -1.122, -2.758, -3.339, 44.11, 55.8, 65.87, 63.41, 63.29
2016, 11, 5.413, 3.308, -6.507, -8.162, -8.718, 185, 225.6, 302.4, 297.3, 297.8
2016, 12, 6.64, 4.334, -5.14, -6.778, -7.342, 202.9, 266.2, 398.2, 396.9, 394.2
2017, 1, 1.348, -1.053, -10.96, -12.61, -13.17, 141.5, 163.4, 240.9, 239.9, 237
2017, 2, -0.001464, -2.519, -12.66, -14.31, -14.85, 304.5, 363.1, 538.6, 535.1, 529.7
2017, 3, 3.354, 0.9378, -9.587, -11.28, -11.81, 240, 263.7, 368.8, 368.1, 363.8
2017, 4, 7.731, 5.216, -5.306, -6.984, -7.516, 159, 180.9, 241, 239.1, 236.5
2017, 5, 12.52, 10.42, 0.1967, -1.466, -2.007, 32.18, 34.13, 36.16, 35.14, 34.6
2017, 6, 14.91, 12.91, 2.5, 0.8286, 0.3008, 44.38, 50.03, 52.74, 51.26, 50.58
2017, 7, 18.85, 17.23, 7.429, 5.795, 5.242, 10.48, 14.96, 21.42, 20.79, 20.28
2017, 8, 17.47, 15.48, 5.153, 3.478, 2.945, 37.96, 52.09, 75.7, 74.7, 73.03
2017, 9, 17.12, 15.48, 5.787, 4.142, 3.584, 43.65, 46.16, 54.8, 53.64, 52.97
2017, 10, 9.552, 7.478, -2.452, -4.095, -4.659, 174.9, 219.8, 297.7, 292.6, 291.1
2017, 11, 4.155, 2.012, -7.876, -9.532, -10.09, 408.5, 504.3, 700.1, 692.9, 691.3
2017, 12, 1.372, -0.9956, -11.04, -12.69, -13.25, 467.1, 558.3, 785, 777.6, 773.2
2018, 1, 2.507, -0.2831, -10.56, -12.23, -12.77, 598.7, 741.6, 1078, 1074, 1066
2018, 2, -0.5166, -3.019, -13.45, -15.12, -15.67, 398.9, 428.4, 572.5, 569.3, 563.3
2018, 3, 3.711, 1.022, -9.763, -11.46, -11.97, 393.2, 460.4, 632.3, 630, 622.9
2018, 4, 6.98, 4.492, -5.985, -7.652, -8.193, 189.3, 215.7, 269, 267.8, 263.1
2018, 5, 9.727, 7.328, -3.193, -4.866, -5.396, 207.6, 250.6, 336.6, 332.8, 327.9
2018, 6, 13.2, 11.12, 0.859, -0.7994, -1.348, 216, 226.3, 229.5, 222.9, 219.4
2018, 7, 17.77, 16.01, 5.911, 4.264, 3.713, 23.57, 24.47, 26.35, 25.81, 25.31
2018, 8, 19.96, 18.29, 8.589, 6.943, 6.388, 34.49, 31.29, 26.65, 25.31, 25.18
2018, 9, 16.43, 14.79, 5.034, 3.393, 2.836, 64.51, 70.08, 73, 71.33, 69.74
2018, 10, 10.11, 8.265, -1.661, -3.311, -3.872, 187.9, 221.7, 270.3, 264.4, 260.7
2018, 11, 4.571, 2.28, -7.735, -9.392, -9.936, 420.7, 514.7, 702, 695, 693.1
2018, 12, 1.809, -0.7039, -10.75, -12.41, -12.97, 471.9, 589, 849.2, 848.1, 844.1
2019, 1, 0.7608, -1.963, -12.24, -13.92, -14.46, 473, 614.7, 898.3, 892.1, 885.7
2019, 2, 1.037, -1.564, -11.9, -13.57, -14.11, 382.4, 437.8, 618.1, 614.7, 606.6
2019, 3, 2.456, 0.2487, -10.26, -11.94, -12.47, 279.4, 287.6, 366.4, 364.9, 360.8
2019, 4, 5.855, 3.538, -7.2, -8.886, -9.41, 228, 250.5, 330.5, 329.2, 325.7
2019, 5, 9.502, 7.281, -2.87, -4.518, -5.087, 87.29, 97.09, 117.9, 115.4, 113.5
2019, 6, 14.16, 11.93, 1.28, -0.3992, -0.9353, 165, 171.1, 171.4, 166.2, 163.7
2019, 7, 16.72, 14.98, 4.761, 3.099, 2.561, 16.93, 20.63, 27.8, 27.07, 26.81
2019, 8, 19.23, 17.64, 7.817, 6.168, 5.608, 37.25, 32.19, 34.23, 33.25, 32.53
2019, 9, 17.23, 16.09, 6.737, 5.113, 4.541, 10.91, 8.139, 8.949, 8.392, 8.366
2019, 10, 11.37, 9.695, -0.007181, -1.641, -2.208, 121.9, 161.6, 208.4, 203.8, 201.5
2019, 11, 1.772, -0.6926, -10.84, -12.51, -13.05, 418.3, 531.4, 743.2, 735.7, 734.4
2019, 12, 1.588, -0.8571, -10.87, -12.54, -13.09, 443.5, 540.7, 766.8, 761.4, 757.4
2020, 1, -0.7923, -3.283, -13, -14.63, -15.19, 79.04, 96.14, 139.6, 139.1, 139.1
2020, 2, 0.4872, -2.206, -12.69, -14.35, -14.9, 279.5, 347.7, 498.6, 495.9, 491.2
2020, 3, 5.277, 2.891, -7.561, -9.235, -9.769, 123.9, 151.2, 223.1, 222.5, 219.5
2020, 4, 4.533, 1.908, -8.522, -10.19, -10.73, 123.5, 144.4, 186.9, 184.4, 182.3
2020, 5, 14.79, 12.89, 2.928, 1.268, 0.7173, 34.87, 41.68, 55.61, 54.72, 53.97
2020, 6, 18.42, 16.74, 6.957, 5.304, 4.746, 44.6, 57.71, 52.06, 49.8, 50.05
2020, 7, 19.69, 18.19, 8.677, 7.04, 6.469, 26.43, 26.62, 32.59, 32.31, 31.41
2020, 8, 18.59, 16.95, 7.098, 5.448, 4.896, 20.23, 20.25, 20.38, 19.59, 19.36
2020, 9, 15.44, 13.52, 3.496, 1.848, 1.289, 37.76, 40.12, 45.48, 43.98, 43.35
2020, 10, 12.23, 10.55, 0.8761, -0.7535, -1.328, 125.1, 158, 210.6, 206.2, 204.2
2020, 11, 3.138, 0.7219, -9.465, -11.13, -11.66, 319.6, 379.6, 528.6, 524.8, 521.2
2020, 12, 2.55, 0.2903, -9.294, -10.92, -11.49, 269.3, 324.8, 440.6, 435.3, 435.1
2021, 1, 0.2505, -2.124, -12.16, -13.83, -14.36, 225.8, 266.2, 377.9, 375.5, 374
2021, 2, 1.896, -0.734, -11.09, -12.76, -13.31, 391.6, 471.6, 666.5, 660.1, 655.1
2021, 3, 4.2, 1.614, -9.163, -10.85, -11.38, 231.9, 280.4, 398.2, 395.5, 391.3
2021, 4, 8.531, 6.126, -4.425, -6.099, -6.625, 127.4, 152.6, 212.6, 210, 207.3
2021, 5, 13.39, 11.37, 1.213, -0.4458, -0.9908, 40.65, 44.01, 51.31, 50.4, 49.77
2021, 6, 15.19, 13.2, 2.91, 1.246, 0.6998, 21.75, 26.83, 31.08, 30.46, 30
2021, 7, 21.31, 19.6, 9.844, 8.198, 7.632, 13.6, 14.66, 17.71, 17.27, 17.19
2021, 8, 20.65, 19.27, 9.652, 8.007, 7.444, 8.225, 9.808, 12.02, 11.7, 11.51
2021, 9, 17, 15.21, 5.379, 3.729, 3.178, 37.93, 43.57, 47.38, 45.8, 45.17
2021, 10, 11.78, 10.48, 1.258, -0.343, -0.9113, 104.5, 125.7, 170.1, 167.5, 166
2021, 11, 3.13, 1.232, -8.101, -9.742, -10.3, 106.2, 147.9, 212.5, 209.8, 207.3
2021, 12, 2.23, -0.09786, -10.05, -11.7, -12.27, 387.1, 489.6, 732.1, 728.8, 727.6
2022, 1, 2.963, 0.7828, -9.063, -10.71, -11.27, 303.2, 363.7, 500.6, 495.8, 493.5
2022, 2, 4.827, 2.621, -7.154, -8.797, -9.359, 209.5, 226.8, 306.2, 304.3, 302.8
2022, 3, 7.339, 5.063, -5.15, -6.816, -7.35, 141.8, 170.8, 254.5, 253.1, 250
2022, 4, 9.374, 7.107, -3.271, -4.941, -5.484, 84.56, 96.07, 121.2, 120.4, 118.5
