# Created by WEAP: 3/19/2020 3:28:53 PM

# Climate time series data extracted from: Monthly, 1948-2010, 0.25 degree (Princeton)
# Raster grid: 720 rows x 1,440 columns, (90 N, 180 W) - (90 S, 180 E), 0.25 degree resolution (approximately 28 km)
# Timespan: Monthly, January 1948 - December 2010 (756 data points)
# Variables extracted:
#      T_mean: Mean monthly air temperature = (tmin + tmax)/2[C]
#      Precip: Precipitation[mm/month]
#      Wind: Wind speed[m/sec]

# WEAP Catchment: Upper Missouri (1,541,200 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (3,455 ha),  1000 - 2000 m (1,369,426 ha),  2000 - 3000 m (168,320 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, T_mean[C]:Elevation 0 to 1000 m, T_mean[C]:Elevation 1000 to 2000 m, T_mean[C]:Elevation 2000 to 3000 m, Precip[mm/month]:Elevation 0 to 1000 m, Precip[mm/month]:Elevation 1000 to 2000 m, Precip[mm/month]:Elevation 2000 to 3000 m, Wind[m/sec]:Elevation 0 to 1000 m, Wind[m/sec]:Elevation 1000 to 2000 m, Wind[m/sec]:Elevation 2000 to 3000 m
1959, 6, 18.05, 15.9, 13.09, 66.74, 55.29, 55.44, 2.903, 2.699, 2.69
1959, 7, 21.77, 19.48, 16.58, 0, 2.824, 4.776, 2.903, 2.736, 2.719
1959, 8, 19.17, 16.94, 14.01, 28.75, 25.63, 27.12, 3.427, 3.222, 3.193
1959, 9, 13.58, 11.61, 9.231, 28.73, 38.67, 46.89, 3.819, 3.525, 3.461
1959, 10, 8.186, 6.733, 4.473, 31.29, 41.12, 48.09, 4.193, 3.936, 3.846
1959, 11, -0.1886, -1.628, -4.48, 31.16, 36.95, 44.07, 5.145, 4.667, 4.508
1959, 12, 2.975, 1.237, -1.702, 7.245, 7.301, 9.754, 4.902, 4.34, 4.156
1960, 1, -5.586, -6.271, -8.398, 9.658, 9.14, 13.94, 4.23, 3.757, 3.612
1960, 2, -3.166, -4.09, -6.284, 11.04, 9.651, 11.11, 4.118, 3.759, 3.667
1960, 3, 0.928, -0.5414, -2.857, 2.712, 4.992, 8.379, 4.006, 3.742, 3.676
1960, 4, 7.255, 5.294, 2.753, 47.06, 44.55, 48.27, 4.286, 4.011, 3.937
1960, 5, 12.28, 10.08, 7.463, 33.59, 42.69, 47.99, 3.595, 3.317, 3.266
1960, 6, 17.68, 15.46, 12.42, 11.33, 9.05, 12.33, 3.744, 3.573, 3.541
1960, 7, 23.82, 21.49, 18.66, 9.981, 7.939, 5.749, 2.492, 2.371, 2.368
1960, 8, 19.54, 16.92, 13.98, 60.16, 57.19, 56.54, 3.202, 3.081, 3.09
1960, 9, 16.93, 14.3, 11.88, 0, 1.607, 4.418, 3.352, 3.138, 3.068
1960, 10, 11.35, 9.129, 6.5, 0, 2.579, 6.131, 4.435, 4.118, 4.031
1960, 11, 2.417, 1.222, -1.226, 8.231, 11.42, 15.85, 4.641, 4.32, 4.2
1960, 12, -0.933, -2.064, -4.302, 6.351, 6.026, 12.2, 4.51, 4.036, 3.852
1961, 1, 0.5558, -0.3785, -2.65, 4.08, 4.341, 7.75, 4.996, 4.459, 4.292
1961, 2, 2.789, 2.073, -0.02565, 10.73, 13.75, 24.14, 4.977, 4.528, 4.401
1961, 3, 4.65, 2.731, 0.2124, 27.2, 35.21, 37.79, 3.725, 3.452, 3.374
1961, 4, 5.953, 3.967, 1.384, 30.32, 27.5, 33.91, 3.95, 3.65, 3.595
1961, 5, 13.77, 11.83, 9.247, 91.27, 69.32, 71.22, 2.698, 2.613, 2.626
1961, 6, 21.4, 19.28, 16.44, 16.62, 11.06, 11.08, 2.773, 2.614, 2.606
