# Created by WEAP: 8/4/2020 8:37:58 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: Lwr Coolee Interior (1,144,723 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,144,723 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Tavg[C]:Elevation 0 to 1000 m, wind[m/s]:Elevation 0 to 1000 m
2004, 5, 30.42, 14.95, 2.176
2004, 6, 11.03, 20.17, 2.11
2004, 7, 2.518, 24.66, 2.177
2004, 8, 24.09, 24.1, 2.124
2004, 9, 8.914, 16.91, 1.963
2004, 10, 19.13, 11.92, 2.481
2004, 11, 9.393, 4.209, 2.497
2004, 12, 26.21, 1.307, 3.307
2005, 1, 23.68, -1.688, 3.305
2005, 2, 0.6921, 3.386, 2.619
2005, 3, 26.87, 8.188, 2.872
2005, 4, 16.51, 11.1, 2.5
2005, 5, 51.68, 16.3, 2.179
2005, 6, 18.89, 18.34, 2.404
2005, 7, 7.045, 23.41, 1.867
2005, 8, 5.194, 23.34, 2.036
2005, 9, 9.939, 16.62, 1.951
2005, 10, 25.31, 11.65, 1.972
2005, 11, 43.4, 2.488, 2.832
2005, 12, 48.34, -3.291, 3.557
2006, 1, 75.1, 2.672, 3.973
2006, 2, 20.1, 1.755, 3.829
2006, 3, 17.63, 5.988, 2.866
2006, 4, 31.72, 10.63, 2.497
2006, 5, 23.48, 15.6, 2.11
2006, 6, 34.64, 19.51, 2.142
2006, 7, 2.045, 25.01, 1.997
2006, 8, 1.397, 22.54, 1.951
2006, 9, 4.902, 18.19, 1.953
2006, 10, 17.82, 10.53, 2.081
2006, 11, 46.99, 3.109, 4.337
2006, 12, 42.74, -2.119, 3.474
2007, 1, 7.495, -3.013, 3.351
2007, 2, 31.36, 2.08, 2.943
2007, 3, 16.73, 7.567, 2.881
2007, 4, 11.74, 10.11, 2.256
2007, 5, 13.39, 15.82, 2.157
2007, 6, 17.49, 18.78, 2.355
2007, 7, 3.981, 25.63, 2.216
2007, 8, 6.954, 22.04, 2.026
2007, 9, 8.719, 17.42, 2.408
2007, 10, 13.66, 10.12, 2.482
2007, 11, 25.51, 3.073, 2.553
2007, 12, 35.91, -1.466, 3.808
2008, 1, 32.48, -4.768, 4.09
2008, 2, 7.742, 1.082, 3.085
2008, 3, 18.57, 4.824, 2.823
2008, 4, 6.206, 7.785, 2.379
2008, 5, 6.299, 16.19, 2.408
2008, 6, 12.63, 18.23, 2.54
2008, 7, 0.466, 23.24, 2.183
2008, 8, 7.604, 22.45, 2.136
2008, 9, 1.032, 18.22, 1.943
2008, 10, 8.956, 10.59, 2.278
2008, 11, 25.37, 4.85, 2.824
2008, 12, 43.87, -4.606, 3.4
2009, 1, 22.79, -2.958, 3.576
2009, 2, 22.62, 0.1791, 2.906
2009, 3, 27.35, 3.983, 3.131
2009, 4, 14.04, 10.05, 2.354
2009, 5, 19.74, 15.39, 2.315
2009, 6, 12.61, 19.89, 2.367
2009, 7, 7.642, 24.7, 1.957
2009, 8, 7.689, 23.34, 2.15
2009, 9, 6.382, 19.71, 1.907
2009, 10, 31.83, 8.493, 3.02
2009, 11, 24.39, 4.123, 3.56
2009, 12, 24.05, -3.73, 3.199
2010, 1, 40.62, 2.691, 3.578
2010, 2, 30.97, 4.936, 2.46
2010, 3, 17.65, 7.615, 2.866
2010, 4, 33.62, 10.61, 3.347
2010, 5, 44.74, 12.84, 2.347
2010, 6, 43.31, 17.34, 2.215
2010, 7, 5.593, 22.85, 2.232
2010, 8, 2.113, 22.06, 2.347
2010, 9, 16.42, 17.25, 1.887
2010, 10, 32.54, 11.72, 2.204
2010, 11, 39.47, 1.693, 3.07
2010, 12, 47.26, -0.8833, 3.769
2011, 1, 25.28, -0.9717, 3.515
2011, 2, 9.32, 0.2351, 3.511
2011, 3, 40.2, 5.885, 3.266
2011, 4, 19.27, 7.334, 2.894
2011, 5, 42.6, 12.92, 2.333
2011, 6, 10.75, 17.34, 2.522
2011, 7, 4.439, 20.54, 2.067
2011, 8, 0.2885, 22.89, 2.1
2011, 9, 1.67, 19.91, 1.892
2011, 10, 13.64, 10.54, 2.266
2011, 11, 12.73, 2.817, 3.543
2011, 12, 11.46, -1.645, 2.696
2012, 1, 23.25, -1.159, 3.811
2012, 2, 22.46, 2.289, 3.475
2012, 3, 52.29, 5.731, 3.644
2012, 4, 29.13, 11.01, 2.43
2012, 5, 9.631, 14.27, 2.472
2012, 6, 59.29, 17.44, 2.511
2012, 7, 19.81, 24.04, 2.022
2012, 8, 0.507, 23.69, 2.169
2012, 9, 0.07243, 18.95, 1.782
2012, 10, 30.83, 10.61, 2.857
2012, 11, 50.41, 4.598, 3.111
2012, 12, 54.28, 0.5126, 3.619
2013, 1, 18.72, -3.56, 3.245
