# Created by WEAP: 1/4/2021 11:54:17 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_LADWP_CoastalLA (36,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (36,256 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m
2005, 5, 18.36, 0.05789
2005, 6, 21.31, 0.007957
2005, 7, 23.18, 0.1338
2005, 8, 24.7, 0.9827
2005, 9, 20.8, 1.253
2005, 10, 20.28, 0.003495
2005, 11, 16.3, 96.82
2005, 12, 15.05, 15.91
2006, 1, 14.43, 42.77
2006, 2, 15.22, 70.54
2006, 3, 17.79, 41.38
2006, 4, 16.17, 48
2006, 5, 17.33, 47.28
2006, 6, 19.61, 0.1125
2006, 7, 21.93, 0.002504
2006, 8, 24.15, 1.081
2006, 9, 23.6, 8.721
2006, 10, 20.25, 0.9096
2006, 11, 19.16, 7.085
2006, 12, 17.71, 4.512
2007, 1, 15.24, 4.532
2007, 2, 14.42, 97.71
2007, 3, 16.49, 77.17
2007, 4, 19.35, 0.5258
2007, 5, 17.53, 0.3435
2007, 6, 21.62, 0.1046
2007, 7, 21.95, 0.0008844
2007, 8, 23.71, 0.152
2007, 9, 20.69, 0.787
2007, 10, 21.48, 11.55
2007, 11, 17.68, 22.47
2007, 12, 19.87, 1.768
2008, 1, 16.74, 57.69
2008, 2, 16.62, 64.91
2008, 3, 16.99, 69.64
2008, 4, 18.43, 0.3693
2008, 5, 19.18, 0.4978
2008, 6, 19.37, 0.02745
2008, 7, 23.6, 0.06246
2008, 8, 23.3, 2.65
2008, 9, 20.64, 0.3178
2008, 10, 18.96, 33.64
2008, 11, 18.78, 57.62
2008, 12, 15.57, 46.87
2009, 1, 17.14, 20.6
2009, 2, 16.92, 192.1
2009, 3, 18.36, 65.79
2009, 4, 16.55, 44.15
2009, 5, 18.6, 13.3
2009, 6, 22.51, 0.1255
2009, 7, 23.94, 0.1289
2009, 8, 24.66, 0.5577
2009, 9, 22.86, 7.809
2009, 10, 22.92, 0.4603
2009, 11, 18.56, 52.88
2009, 12, 15.85, 36.18
2010, 1, 15.19, 462.5
2010, 2, 16.02, 176.8
2010, 3, 16.88, 252.1
2010, 4, 18.3, 6.833
2010, 5, 20.16, 3.391
2010, 6, 20.52, 0.1455
2010, 7, 24.17, 0.3463
2010, 8, 24.25, 0.2259
2010, 9, 21.13, 1.83
2010, 10, 19.02, 0.4393
2010, 11, 17.01, 47.4
2010, 12, 15.04, 26.67
2011, 1, 14.8, 6.805
2011, 2, 16.46, 365.5
2011, 3, 17.77, 73.92
2011, 4, 17.76, 18.98
2011, 5, 17.98, 45.07
2011, 6, 20.24, 0.1679
